,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,sh,sot,dist,fk,pk,pkatt,sota,saves,pka,pksv,cmp,att,totdist,prgdist,live,dead,tb,sw,crs,ti,ck,season,team
23,2018-02-03,15:30,Matchweek 21,Sat,Away,D,0,0,Freiburg,0.9,0.8,63.0,24000.0,Bernd Leno,4-2-3-1,Robert Kampka,16.0,3.0,19.2,1.0,0.0,0.0,5.0,5.0,0.0,0.0,505.0,635.0,8753.0,2990.0,575.0,57.0,0.0,8.0,24.0,26.0,4.0,2017-2018,Bayer Leverkusen
25,2018-02-10,15:30,Matchweek 22,Sat,Home,L,0,2,Hertha BSC,1.7,1.2,61.0,25601.0,Bernd Leno,4-2-3-1,Patrick Ittrich,15.0,5.0,14.5,1.0,0.0,0.0,4.0,2.0,0.0,0.0,474.0,593.0,7760.0,2982.0,527.0,66.0,0.0,3.0,24.0,28.0,9.0,2017-2018,Bayer Leverkusen
26,2018-02-17,15:30,Matchweek 23,Sat,Away,W,2,1,Hamburger SV,2.8,1.5,50.0,45691.0,Bernd Leno,4-2-3-1,Felix Brych,17.0,5.0,15.2,0.0,0.0,0.0,3.0,2.0,0.0,0.0,375.0,509.0,6561.0,2728.0,448.0,61.0,0.0,5.0,9.0,27.0,3.0,2017-2018,Bayer Leverkusen
27,2018-02-25,15:30,Matchweek 24,Sun,Home,L,0,2,Schalke 04,0.5,2.5,54.0,30210.0,Bernd Leno,4-3-3,Daniel Siebert,9.0,5.0,16.3,0.0,0.0,0.0,6.0,4.0,1.0,0.0,398.0,509.0,7003.0,2669.0,450.0,58.0,2.0,2.0,20.0,18.0,7.0,2017-2018,Bayer Leverkusen
28,2018-03-03,15:30,Matchweek 25,Sat,Away,W,2,1,Wolfsburg,2.1,0.3,52.0,24354.0,Lars Bender,4-2-3-1,Felix Zwayer,16.0,3.0,18.6,1.0,1.0,1.0,2.0,1.0,0.0,0.0,444.0,565.0,7829.0,2980.0,507.0,58.0,0.0,0.0,16.0,25.0,2.0,2017-2018,Bayer Leverkusen
29,2018-03-10,18:30,Matchweek 26,Sat,Home,W,2,0,M'Gladbach,2.8,0.7,54.0,28809.0,Lars Bender,4-2-3-1,Robert Hartmann,19.0,7.0,16.8,1.0,0.0,0.0,2.0,2.0,0.0,0.0,494.0,594.0,9237.0,3301.0,550.0,43.0,0.0,9.0,16.0,21.0,3.0,2017-2018,Bayer Leverkusen
30,2018-03-18,15:30,Matchweek 27,Sun,Away,L,0,2,Köln,0.8,1.4,50.0,50000.0,Bernd Leno,4-2-3-1,Harm Osmers,10.0,3.0,18.5,1.0,0.0,0.0,3.0,1.0,0.0,0.0,458.0,575.0,7508.0,2768.0,532.0,42.0,0.0,1.0,11.0,11.0,2.0,2017-2018,Bayer Leverkusen
31,2018-03-31,15:30,Matchweek 28,Sat,Home,D,0,0,Augsburg,1.0,0.4,65.0,25831.0,Bernd Leno,4-2-3-1,Frank Willenborg,18.0,2.0,18.7,0.0,0.0,0.0,2.0,2.0,0.0,0.0,558.0,697.0,9278.0,3389.0,642.0,54.0,0.0,8.0,24.0,29.0,5.0,2017-2018,Bayer Leverkusen
32,2018-04-09,20:30,Matchweek 29,Mon,Away,W,4,1,RB Leipzig,1.9,1.3,53.0,35617.0,Lars Bender,3-4-3,Deniz Aytekin,13.0,7.0,15.4,0.0,0.0,0.0,4.0,3.0,0.0,0.0,399.0,529.0,7007.0,2899.0,470.0,54.0,1.0,3.0,21.0,22.0,9.0,2017-2018,Bayer Leverkusen
33,2018-04-14,15:30,Matchweek 30,Sat,Home,W,4,1,Eint Frankfurt,2.3,0.9,53.0,30210.0,Lars Bender,3-4-1-2,Felix Brych,11.0,6.0,18.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,469.0,564.0,7506.0,2646.0,519.0,43.0,1.0,3.0,11.0,23.0,2.0,2017-2018,Bayer Leverkusen
35,2018-04-21,18:30,Matchweek 31,Sat,Away,L,0,4,Dortmund,0.5,3.5,56.0,81360.0,Kevin Volland,4-2-3-1,Markus Schmidt,10.0,3.0,20.6,0.0,0.0,0.0,8.0,3.0,0.0,1.0,414.0,521.0,7206.0,2812.0,467.0,53.0,0.0,3.0,20.0,23.0,6.0,2017-2018,Bayer Leverkusen
36,2018-04-28,18:30,Matchweek 32,Sat,Home,L,0,1,Stuttgart,2.6,0.5,65.0,30210.0,Lars Bender,3-4-3,Tobias Welz,21.0,6.0,17.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,506.0,611.0,9553.0,3206.0,561.0,49.0,1.0,12.0,37.0,19.0,6.0,2017-2018,Bayer Leverkusen
37,2018-05-05,15:30,Matchweek 33,Sat,Away,D,0,0,Werder Bremen,0.9,0.2,60.0,41000.0,Bernd Leno,4-2-3-1,Robert Hartmann,9.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,591.0,8180.0,2743.0,541.0,47.0,0.0,13.0,21.0,27.0,1.0,2017-2018,Bayer Leverkusen
38,2018-05-12,15:30,Matchweek 34,Sat,Home,W,3,2,Hannover 96,4.0,1.7,54.0,30210.0,Lars Bender,4-2-3-1,Guido Winkmann,26.0,8.0,18.3,1.0,0.0,1.0,4.0,2.0,0.0,0.0,452.0,559.0,8468.0,3446.0,510.0,47.0,2.0,9.0,20.0,20.0,5.0,2017-2018,Bayer Leverkusen
1,2017-08-19,18:30,Matchweek 1,Sat,Away,L,0,2,Schalke 04,1.0,1.8,64.0,61435.0,Willi Orban,4-2-2-2,Felix Zwayer,12.0,3.0,21.3,1.0,0.0,0.0,5.0,3.0,1.0,0.0,503.0,638.0,8233.0,3041.0,571.0,62.0,2.0,3.0,18.0,27.0,5.0,2017-2018,RB Leipzig
2,2017-08-27,15:30,Matchweek 2,Sun,Home,W,4,1,Freiburg,2.7,0.5,67.0,39265.0,Willi Orban,4-2-2-2,Christian Dingert,29.0,11.0,16.4,0.0,0.0,0.0,2.0,1.0,0.0,0.0,531.0,641.0,8520.0,3118.0,580.0,60.0,6.0,3.0,14.0,33.0,8.0,2017-2018,RB Leipzig
3,2017-09-08,20:30,Matchweek 3,Fri,Away,W,2,0,Hamburger SV,1.8,1.2,67.0,50231.0,Willi Orban,4-2-2-2,Deniz Aytekin,20.0,4.0,20.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,440.0,570.0,7961.0,3033.0,503.0,65.0,3.0,2.0,29.0,29.0,14.0,2017-2018,RB Leipzig
5,2017-09-16,18:30,Matchweek 4,Sat,Home,D,2,2,M'Gladbach,0.7,1.5,52.0,42558.0,Emil Forsberg,4-2-2-2,Marco Fritz,9.0,3.0,20.3,0.0,0.0,0.0,3.0,1.0,1.0,0.0,473.0,581.0,8060.0,2970.0,529.0,49.0,3.0,1.0,9.0,22.0,3.0,2017-2018,RB Leipzig
6,2017-09-19,20:30,Matchweek 5,Tue,Away,L,0,1,Augsburg,1.1,1.2,67.0,26113.0,Willi Orban,4-2-2-2,Daniel Siebert,14.0,3.0,20.4,0.0,0.0,0.0,4.0,3.0,0.0,0.0,591.0,724.0,9958.0,3634.0,662.0,60.0,0.0,4.0,12.0,29.0,2.0,2017-2018,RB Leipzig
7,2017-09-23,15:30,Matchweek 6,Sat,Home,W,2,1,Eint Frankfurt,1.6,0.8,64.0,40606.0,Willi Orban,4-2-2-2,Benjamin Brand,16.0,5.0,16.3,2.0,0.0,0.0,3.0,2.0,0.0,0.0,495.0,628.0,8551.0,3044.0,570.0,54.0,4.0,2.0,23.0,23.0,2.0,2017-2018,RB Leipzig
9,2017-10-01,18:00,Matchweek 7,Sun,Away,W,2,1,Köln,2.7,1.2,52.0,48700.0,Emil Forsberg,4-2-2-2,Felix Zwayer,23.0,10.0,17.1,0.0,0.0,0.0,6.0,5.0,0.0,0.0,390.0,497.0,6178.0,3076.0,432.0,61.0,0.0,1.0,16.0,29.0,7.0,2017-2018,RB Leipzig
10,2017-10-14,18:30,Matchweek 8,Sat,Away,W,3,2,Dortmund,2.3,2.2,34.0,80100.0,Marcel Sabitzer,4-2-2-2,Deniz Aytekin,6.0,5.0,15.7,0.0,1.0,1.0,8.0,6.0,1.0,0.0,232.0,343.0,4412.0,2147.0,287.0,51.0,1.0,1.0,7.0,17.0,2.0,2017-2018,RB Leipzig
12,2017-10-21,15:30,Matchweek 9,Sat,Home,W,1,0,Stuttgart,1.1,0.8,57.0,42558.0,Willi Orban,4-2-2-2,Sven Jablonski,15.0,3.0,19.3,0.0,0.0,0.0,2.0,2.0,0.0,0.0,476.0,597.0,8164.0,3199.0,531.0,64.0,5.0,3.0,15.0,28.0,3.0,2017-2018,RB Leipzig
14,2017-10-28,18:30,Matchweek 10,Sat,Away,L,0,2,Bayern Munich,0.3,2.2,29.0,75000.0,Willi Orban,4-2-2-2,Daniel Siebert,3.0,1.0,11.4,0.0,0.0,0.0,7.0,5.0,0.0,0.0,237.0,318.0,4072.0,1860.0,265.0,53.0,1.0,2.0,4.0,22.0,1.0,2017-2018,RB Leipzig
16,2017-11-04,15:30,Matchweek 11,Sat,Home,W,2,1,Hannover 96,1.8,0.9,60.0,40461.0,Diego Demme,4-2-2-2,Martin Petersen,18.0,6.0,21.7,1.0,0.0,0.0,4.0,3.0,0.0,0.0,476.0,622.0,8003.0,3268.0,557.0,61.0,3.0,3.0,8.0,32.0,2.0,2017-2018,RB Leipzig
17,2017-11-18,15:30,Matchweek 12,Sat,Away,D,2,2,Leverkusen,2.1,1.4,50.0,29218.0,Willi Orban,4-2-2-2,Harm Osmers,10.0,1.0,24.3,2.0,2.0,2.0,3.0,1.0,0.0,0.0,374.0,465.0,5977.0,2234.0,414.0,50.0,0.0,1.0,11.0,18.0,1.0,2017-2018,RB Leipzig
19,2017-11-25,15:30,Matchweek 13,Sat,Home,W,2,0,Werder Bremen,1.2,0.5,53.0,40172.0,Willi Orban,4-2-2-2,Sascha Stegemann,15.0,7.0,19.5,0.0,0.0,0.0,3.0,3.0,0.0,0.0,456.0,573.0,7065.0,2488.0,524.0,44.0,5.0,0.0,16.0,19.0,8.0,2017-2018,RB Leipzig
20,2017-12-02,15:30,Matchweek 14,Sat,Away,L,0,4,Hoffenheim,0.4,1.3,64.0,28299.0,Diego Demme,4-2-2-2,Daniel Siebert,11.0,5.0,21.6,1.0,0.0,0.0,8.0,4.0,0.0,0.0,562.0,689.0,9475.0,3508.0,632.0,55.0,0.0,4.0,19.0,23.0,7.0,2017-2018,RB Leipzig
22,2017-12-09,15:30,Matchweek 15,Sat,Home,D,2,2,Mainz 05,1.4,1.3,62.0,32817.0,Dominik Kaiser,4-2-2-2,Patrick Ittrich,11.0,6.0,21.8,1.0,1.0,1.0,9.0,7.0,0.0,0.0,469.0,606.0,8350.0,3571.0,541.0,64.0,0.0,2.0,12.0,33.0,6.0,2017-2018,RB Leipzig
23,2017-12-12,18:30,Matchweek 16,Tue,Away,D,1,1,Wolfsburg,0.7,2.4,52.0,22827.0,Péter Gulácsi,4-2-2-2,Guido Winkmann,14.0,5.0,18.8,1.0,0.0,0.0,5.0,4.0,1.0,0.0,363.0,488.0,6635.0,2804.0,442.0,44.0,1.0,1.0,25.0,21.0,9.0,2017-2018,RB Leipzig
24,2017-12-17,18:00,Matchweek 17,Sun,Home,L,2,3,Hertha BSC,2.5,1.5,74.0,36109.0,Willi Orban,4-2-2-2,Frank Willenborg,22.0,9.0,15.9,1.0,0.0,0.0,5.0,2.0,0.0,0.0,577.0,718.0,8724.0,2806.0,668.0,45.0,2.0,0.0,32.0,23.0,6.0,2017-2018,RB Leipzig
25,2018-01-13,18:30,Matchweek 18,Sat,Home,W,3,1,Schalke 04,2.3,0.6,51.0,42558.0,Willi Orban,4-3-3,Deniz Aytekin,15.0,7.0,17.9,0.0,0.0,1.0,6.0,5.0,0.0,0.0,391.0,491.0,6461.0,2581.0,425.0,64.0,3.0,0.0,17.0,31.0,4.0,2017-2018,RB Leipzig
26,2018-01-20,15:30,Matchweek 19,Sat,Away,L,1,2,Freiburg,0.7,0.6,59.0,23700.0,Willi Orban,4-3-3,Benjamin Brand,12.0,3.0,17.9,0.0,0.0,0.0,4.0,2.0,0.0,0.0,447.0,564.0,7372.0,2578.0,504.0,57.0,0.0,0.0,18.0,30.0,6.0,2017-2018,RB Leipzig
27,2018-01-27,15:30,Matchweek 20,Sat,Home,D,1,1,Hamburger SV,1.1,1.2,60.0,42558.0,Willi Orban,4-2-2-2,Benjamin Cortus,15.0,6.0,17.8,1.0,0.0,0.0,2.0,1.0,0.0,0.0,417.0,565.0,7008.0,2651.0,492.0,71.0,0.0,2.0,16.0,43.0,3.0,2017-2018,RB Leipzig
28,2018-02-03,18:30,Matchweek 21,Sat,Away,W,1,0,M'Gladbach,1.5,1.1,53.0,49018.0,Willi Orban,4-3-3,Tobias Stieler,16.0,6.0,16.5,1.0,0.0,0.0,3.0,3.0,0.0,0.0,421.0,538.0,6526.0,2543.0,485.0,50.0,0.0,0.0,24.0,20.0,7.0,2017-2018,RB Leipzig
29,2018-02-09,20:30,Matchweek 22,Fri,Home,W,2,0,Augsburg,2.1,0.8,49.0,34286.0,Willi Orban,4-2-2-2,Sven Jablonski,24.0,9.0,18.4,3.0,0.0,0.0,2.0,2.0,0.0,0.0,361.0,464.0,6690.0,2891.0,414.0,46.0,1.0,0.0,11.0,15.0,6.0,2017-2018,RB Leipzig
31,2018-02-19,20:30,Matchweek 23,Mon,Away,L,1,2,Eint Frankfurt,0.5,1.6,56.0,45100.0,Willi Orban,4-3-3,Felix Zwayer,10.0,2.0,18.2,0.0,0.0,0.0,3.0,1.0,0.0,0.0,357.0,493.0,5549.0,2417.0,419.0,69.0,1.0,1.0,15.0,30.0,5.0,2017-2018,RB Leipzig
33,2018-02-25,18:00,Matchweek 24,Sun,Home,L,1,2,Köln,2.1,1.2,55.0,31793.0,Willi Orban,4-3-3,Harm Osmers,15.0,3.0,13.5,0.0,0.0,0.0,5.0,3.0,0.0,0.0,499.0,620.0,7447.0,2717.0,568.0,51.0,0.0,2.0,12.0,26.0,3.0,2017-2018,RB Leipzig
34,2018-03-03,18:30,Matchweek 25,Sat,Home,D,1,1,Dortmund,1.1,1.7,50.0,42558.0,Willi Orban,4-2-2-2,Felix Brych,11.0,3.0,19.4,0.0,0.0,0.0,2.0,1.0,0.0,0.0,373.0,524.0,5945.0,2675.0,458.0,63.0,1.0,0.0,24.0,35.0,3.0,2017-2018,RB Leipzig
36,2018-03-11,15:30,Matchweek 26,Sun,Away,D,0,0,Stuttgart,0.9,1.0,54.0,53548.0,Willi Orban,4-2-2-2,Tobias Stieler,8.0,3.0,18.8,0.0,0.0,0.0,2.0,2.0,0.0,0.0,389.0,528.0,6778.0,2922.0,473.0,55.0,1.0,0.0,22.0,26.0,5.0,2017-2018,RB Leipzig
38,2018-03-18,18:00,Matchweek 27,Sun,Home,W,2,1,Bayern Munich,2.8,1.4,39.0,42558.0,Diego Demme,3-4-1-2,Marco Fritz,16.0,5.0,13.4,2.0,0.0,0.0,2.0,1.0,0.0,0.0,294.0,411.0,4756.0,2337.0,358.0,52.0,1.0,0.0,9.0,27.0,3.0,2017-2018,RB Leipzig
39,2018-03-31,15:30,Matchweek 28,Sat,Away,W,3,2,Hannover 96,2.7,1.4,55.0,42300.0,Willi Orban,4-2-2-2,Guido Winkmann,15.0,5.0,13.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,412.0,519.0,7902.0,3070.0,466.0,50.0,0.0,6.0,10.0,18.0,3.0,2017-2018,RB Leipzig
41,2018-04-09,20:30,Matchweek 29,Mon,Home,L,1,4,Leverkusen,1.3,1.9,47.0,35617.0,Willi Orban,4-2-2-2,Deniz Aytekin,19.0,4.0,18.5,0.0,0.0,0.0,7.0,3.0,0.0,0.0,348.0,463.0,6638.0,2931.0,405.0,55.0,1.0,1.0,12.0,26.0,8.0,2017-2018,RB Leipzig
43,2018-04-15,18:00,Matchweek 30,Sun,Away,D,1,1,Werder Bremen,1.5,1.2,57.0,42100.0,Willi Orban,3-1-4-2,Christian Dingert,10.0,4.0,16.2,2.0,0.0,0.0,6.0,5.0,0.0,0.0,447.0,564.0,7172.0,2892.0,501.0,61.0,0.0,3.0,7.0,27.0,2.0,2017-2018,RB Leipzig
44,2018-04-21,15:30,Matchweek 31,Sat,Home,L,2,5,Hoffenheim,1.7,3.4,55.0,41780.0,Willi Orban,4-2-3-1,Tobias Welz,14.0,8.0,18.8,1.0,0.0,0.0,7.0,2.0,0.0,0.0,484.0,570.0,7683.0,2770.0,516.0,51.0,4.0,2.0,13.0,10.0,8.0,2017-2018,RB Leipzig
45,2018-04-29,15:30,Matchweek 32,Sun,Away,L,0,3,Mainz 05,1.0,2.5,61.0,30083.0,Willi Orban,4-1-2-1-2◆,Bastian Dankert,6.0,0.0,13.4,0.0,0.0,0.0,9.0,6.0,1.0,0.0,374.0,497.0,6715.0,3266.0,431.0,65.0,1.0,2.0,20.0,18.0,8.0,2017-2018,RB Leipzig
46,2018-05-05,15:30,Matchweek 33,Sat,Home,W,4,1,Wolfsburg,2.1,0.7,48.0,41487.0,Dominik Kaiser,4-2-2-2,Marco Fritz,13.0,7.0,18.1,2.0,0.0,0.0,5.0,4.0,0.0,0.0,307.0,412.0,5107.0,2210.0,355.0,55.0,2.0,1.0,11.0,33.0,2.0,2017-2018,RB Leipzig
47,2018-05-12,15:30,Matchweek 34,Sat,Away,W,6,2,Hertha BSC,1.1,1.7,52.0,60502.0,Diego Demme,4-2-2-2,Sven Jablonski,17.0,10.0,18.1,1.0,0.0,0.0,4.0,2.0,0.0,0.0,352.0,433.0,5303.0,2153.0,382.0,50.0,1.0,2.0,10.0,22.0,6.0,2017-2018,RB Leipzig
1,2017-08-19,15:30,Matchweek 1,Sat,Away,L,0,2,Hertha BSC,1.0,0.5,47.0,44751.0,Christian Gentner,4-4-2,Sascha Stegemann,8.0,2.0,17.3,1.0,0.0,0.0,4.0,2.0,0.0,0.0,388.0,491.0,6661.0,2278.0,437.0,51.0,0.0,2.0,12.0,23.0,1.0,2017-2018,Stuttgart
2,2017-08-26,15:30,Matchweek 2,Sat,Home,W,1,0,Mainz 05,1.9,0.9,52.0,53100.0,Christian Gentner,3-4-3,Benjamin Brand,16.0,4.0,21.5,0.0,0.0,1.0,6.0,6.0,0.0,0.0,384.0,482.0,7599.0,2976.0,429.0,52.0,2.0,3.0,20.0,15.0,5.0,2017-2018,Stuttgart
3,2017-09-10,18:00,Matchweek 3,Sun,Away,L,1,3,Schalke 04,1.3,2.0,62.0,61098.0,Christian Gentner,3-4-3,Frank Willenborg,11.0,2.0,15.7,0.0,0.0,0.0,4.0,1.0,1.0,0.0,617.0,719.0,11539.0,3248.0,667.0,49.0,0.0,3.0,20.0,19.0,1.0,2017-2018,Stuttgart
4,2017-09-16,15:30,Matchweek 4,Sat,Home,W,1,0,Wolfsburg,1.0,0.5,46.0,50500.0,Christian Gentner,3-4-3,Guido Winkmann,8.0,4.0,19.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,368.0,477.0,6992.0,2442.0,418.0,54.0,0.0,1.0,11.0,20.0,2.0,2017-2018,Stuttgart
5,2017-09-19,18:30,Matchweek 5,Tue,Away,L,0,2,M'Gladbach,0.6,1.1,45.0,44063.0,Simon Terodde,3-4-3,Sören Storks,11.0,4.0,19.5,0.0,0.0,0.0,3.0,1.0,1.0,0.0,424.0,499.0,8457.0,2787.0,448.0,48.0,1.0,2.0,12.0,27.0,1.0,2017-2018,Stuttgart
6,2017-09-23,15:30,Matchweek 6,Sat,Home,D,0,0,Augsburg,0.7,0.4,63.0,55202.0,Simon Terodde,3-4-3,Harm Osmers,14.0,2.0,24.7,1.0,0.0,0.0,3.0,3.0,0.0,0.0,513.0,645.0,10507.0,4058.0,589.0,56.0,0.0,1.0,17.0,29.0,5.0,2017-2018,Stuttgart
7,2017-09-30,15:30,Matchweek 7,Sat,Away,L,1,2,Eint Frankfurt,1.0,1.2,57.0,51500.0,Dennis Aogo,3-4-3,Felix Brych,13.0,5.0,17.4,1.0,0.0,0.0,6.0,4.0,0.0,0.0,451.0,560.0,9461.0,3248.0,506.0,52.0,0.0,5.0,22.0,28.0,6.0,2017-2018,Stuttgart
8,2017-10-13,20:30,Matchweek 8,Fri,Home,W,2,1,Köln,2.3,2.1,45.0,58716.0,Dennis Aogo,3-4-3,Benjamin Cortus,22.0,7.0,20.1,2.0,0.0,0.0,3.0,2.0,0.0,0.0,292.0,413.0,6152.0,2827.0,361.0,52.0,2.0,5.0,17.0,21.0,5.0,2017-2018,Stuttgart
9,2017-10-21,15:30,Matchweek 9,Sat,Away,L,0,1,RB Leipzig,0.8,1.1,43.0,42558.0,Simon Terodde,3-4-3,Sven Jablonski,11.0,2.0,19.4,0.0,0.0,0.0,3.0,2.0,0.0,0.0,299.0,447.0,5983.0,2457.0,384.0,57.0,1.0,4.0,21.0,28.0,5.0,2017-2018,Stuttgart
11,2017-10-29,18:00,Matchweek 10,Sun,Home,W,3,0,Freiburg,1.4,0.4,71.0,58872.0,Ron-Robert Zieler,4-2-3-1,Tobias Stieler,18.0,6.0,21.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,749.0,12678.0,3737.0,703.0,41.0,1.0,3.0,31.0,19.0,6.0,2017-2018,Stuttgart
12,2017-11-04,15:30,Matchweek 11,Sat,Away,L,1,3,Hamburger SV,1.4,1.8,27.0,54976.0,Ron-Robert Zieler,4-2-3-1,Guido Winkmann,2.0,1.0,20.1,0.0,1.0,1.0,11.0,8.0,0.0,0.0,158.0,256.0,3271.0,1679.0,203.0,53.0,1.0,0.0,8.0,20.0,3.0,2017-2018,Stuttgart
13,2017-11-17,20:30,Matchweek 12,Fri,Home,W,2,1,Dortmund,1.2,1.5,38.0,58932.0,Christian Gentner,3-4-3,Frank Willenborg,9.0,4.0,15.3,0.0,0.0,0.0,7.0,5.0,0.0,1.0,218.0,345.0,4150.0,2204.0,282.0,58.0,0.0,1.0,12.0,30.0,5.0,2017-2018,Stuttgart
14,2017-11-24,20:30,Matchweek 13,Fri,Away,D,1,1,Hannover 96,1.7,1.7,53.0,43500.0,Christian Gentner,3-4-3,Christian Dingert,13.0,4.0,18.8,0.0,0.0,0.0,4.0,3.0,1.0,0.0,344.0,492.0,6421.0,2800.0,431.0,59.0,0.0,1.0,17.0,26.0,5.0,2017-2018,Stuttgart
15,2017-12-02,15:30,Matchweek 14,Sat,Away,L,0,1,Werder Bremen,1.1,0.7,58.0,41500.0,Christian Gentner,3-4-1-2,Bastian Dankert,13.0,3.0,16.7,0.0,0.0,0.0,6.0,5.0,0.0,0.0,485.0,611.0,9510.0,3514.0,559.0,49.0,1.0,3.0,21.0,18.0,8.0,2017-2018,Stuttgart
16,2017-12-08,20:30,Matchweek 15,Fri,Home,L,0,2,Leverkusen,0.4,1.9,59.0,54650.0,Christian Gentner,3-4-3,Deniz Aytekin,9.0,5.0,18.3,0.0,0.0,0.0,4.0,2.0,0.0,0.0,489.0,627.0,9787.0,3230.0,564.0,61.0,0.0,4.0,25.0,32.0,8.0,2017-2018,Stuttgart
17,2017-12-13,18:30,Matchweek 16,Wed,Away,L,0,1,Hoffenheim,0.6,1.5,42.0,30150.0,Christian Gentner,3-4-3,Bibiana Steinhaus,9.0,3.0,13.6,0.0,0.0,0.0,2.0,1.0,0.0,0.0,354.0,490.0,6813.0,2822.0,440.0,49.0,0.0,0.0,12.0,21.0,3.0,2017-2018,Stuttgart
18,2017-12-16,15:30,Matchweek 17,Sat,Home,L,0,1,Bayern Munich,1.2,1.6,43.0,58885.0,Christian Gentner,3-4-3,Patrick Ittrich,9.0,3.0,19.3,0.0,0.0,1.0,7.0,6.0,0.0,0.0,311.0,442.0,5985.0,2790.0,378.0,62.0,0.0,2.0,24.0,27.0,9.0,2017-2018,Stuttgart
20,2018-01-13,15:30,Matchweek 18,Sat,Home,W,1,0,Hertha BSC,0.3,1.0,47.0,57181.0,Christian Gentner,4-4-2,Felix Brych,8.0,2.0,21.8,0.0,0.0,0.0,1.0,1.0,0.0,0.0,366.0,491.0,7188.0,3184.0,439.0,47.0,0.0,0.0,22.0,20.0,4.0,2017-2018,Stuttgart
21,2018-01-20,15:30,Matchweek 19,Sat,Away,L,2,3,Mainz 05,1.1,2.8,59.0,25736.0,Christian Gentner,4-2-3-1,Harm Osmers,8.0,5.0,17.4,0.0,0.0,0.0,12.0,9.0,0.0,0.0,518.0,629.0,9739.0,3129.0,584.0,45.0,0.0,3.0,19.0,20.0,3.0,2017-2018,Stuttgart
22,2018-01-27,15:30,Matchweek 20,Sat,Home,L,0,2,Schalke 04,0.6,2.6,62.0,55096.0,Christian Gentner,3-4-3,Felix Zwayer,11.0,1.0,18.0,0.0,0.0,0.0,7.0,5.0,1.0,0.0,581.0,693.0,11050.0,3547.0,639.0,53.0,0.0,3.0,27.0,25.0,4.0,2017-2018,Stuttgart
23,2018-02-03,15:30,Matchweek 21,Sat,Away,D,1,1,Wolfsburg,2.0,0.8,45.0,24378.0,Christian Gentner,4-2-3-1,Robert Hartmann,14.0,2.0,15.3,0.0,0.0,0.0,5.0,4.0,0.0,0.0,381.0,507.0,7763.0,2993.0,451.0,54.0,0.0,3.0,27.0,22.0,6.0,2017-2018,Stuttgart
24,2018-02-11,15:30,Matchweek 22,Sun,Home,W,1,0,M'Gladbach,0.7,0.5,33.0,53296.0,Christian Gentner,4-4-2,Frank Willenborg,7.0,2.0,21.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,229.0,337.0,4681.0,2002.0,291.0,46.0,0.0,2.0,16.0,26.0,1.0,2017-2018,Stuttgart
25,2018-02-18,15:30,Matchweek 23,Sun,Away,W,1,0,Augsburg,1.4,0.4,40.0,30007.0,Christian Gentner,4-4-2,Tobias Stieler,16.0,6.0,21.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,233.0,355.0,4333.0,2130.0,295.0,60.0,0.0,5.0,21.0,24.0,7.0,2017-2018,Stuttgart
26,2018-02-24,15:30,Matchweek 24,Sat,Home,W,1,0,Eint Frankfurt,2.2,0.3,39.0,55418.0,Christian Gentner,4-4-2,Bibiana Steinhaus,13.0,4.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,386.0,4834.0,2364.0,329.0,55.0,0.0,1.0,12.0,20.0,4.0,2017-2018,Stuttgart
27,2018-03-04,15:30,Matchweek 25,Sun,Away,W,3,2,Köln,0.8,1.4,40.0,50000.0,Christian Gentner,4-4-2,Sören Storks,9.0,4.0,19.7,2.0,0.0,0.0,4.0,2.0,0.0,0.0,285.0,406.0,5570.0,2462.0,354.0,52.0,0.0,0.0,17.0,16.0,3.0,2017-2018,Stuttgart
28,2018-03-11,15:30,Matchweek 26,Sun,Home,D,0,0,RB Leipzig,1.0,0.9,46.0,53548.0,Christian Gentner,4-4-2,Tobias Stieler,12.0,2.0,17.6,1.0,0.0,0.0,3.0,3.0,0.0,0.0,308.0,446.0,6441.0,2514.0,389.0,55.0,0.0,2.0,22.0,30.0,3.0,2017-2018,Stuttgart
29,2018-03-16,20:30,Matchweek 27,Fri,Away,W,2,1,Freiburg,1.5,0.4,44.0,24000.0,Christian Gentner,4-4-2,Benjamin Brand,10.0,5.0,15.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,363.0,492.0,7437.0,3289.0,447.0,43.0,0.0,1.0,17.0,16.0,3.0,2017-2018,Stuttgart
30,2018-03-31,15:30,Matchweek 28,Sat,Home,D,1,1,Hamburger SV,1.2,0.9,43.0,60449.0,Christian Gentner,4-4-2,Felix Brych,11.0,4.0,15.2,0.0,0.0,0.0,6.0,5.0,0.0,0.0,338.0,466.0,6624.0,2387.0,411.0,52.0,0.0,5.0,11.0,25.0,3.0,2017-2018,Stuttgart
