,date,time,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,sh,sot,dist,fk,pk,pkatt,sota,saves,pka,pksv,cmp,att,totdist,prgdist,live,dead,tb,sw,crs,ti,ck,season,team
10,2022-10-01,15:30,Matchweek 8,Sat,Away,L,2,3,Köln,2.5,1.9,58.0,50000.0,Jude Bellingham,4-2-3-1,Harm Osmers,22.0,8.0,16.4,1.0,0.0,0.0,10.0,7.0,0.0,0.0,430.0,529.0,8489.0,3438.0,463.0,63.0,1.0,5.0,25.0,20.0,11.0,2022-2023,Dortmund
12,2022-10-08,18:30,Matchweek 9,Sat,Home,D,2,2,Bayern Munich,1.6,0.6,44.0,81365.0,Mats Hummels,4-3-3,Deniz Aytekin,12.0,6.0,15.5,0.0,0.0,0.0,3.0,1.0,0.0,0.0,376.0,481.0,6685.0,2630.0,428.0,53.0,2.0,7.0,17.0,21.0,7.0,2022-2023,Dortmund
14,2022-10-16,17:30,Matchweek 10,Sun,Away,L,0,2,Union Berlin,0.8,1.9,76.0,22012.0,Mats Hummels,3-5-2,Tobias Stieler,14.0,6.0,18.3,1.0,0.0,0.0,5.0,3.0,0.0,0.0,725.0,839.0,13340.0,4328.0,783.0,56.0,0.0,11.0,27.0,21.0,8.0,2022-2023,Dortmund
16,2022-10-22,15:30,Matchweek 11,Sat,Home,W,5,0,Stuttgart,2.6,1.0,60.0,81365.0,Mats Hummels,4-2-3-1,Daniel Schlager,18.0,10.0,17.2,1.0,0.0,0.0,1.0,1.0,0.0,0.0,542.0,638.0,8971.0,2831.0,595.0,43.0,1.0,5.0,19.0,13.0,9.0,2022-2023,Dortmund
18,2022-10-29,18:30,Matchweek 12,Sat,Away,W,2,1,Eint Frankfurt,0.6,1.9,42.0,50000.0,Mats Hummels,4-2-3-1,Sascha Stegemann,7.0,2.0,21.1,1.0,0.0,0.0,6.0,5.0,0.0,0.0,361.0,461.0,7353.0,2658.0,413.0,47.0,1.0,10.0,8.0,19.0,3.0,2022-2023,Dortmund
20,2022-11-05,15:30,Matchweek 13,Sat,Home,W,3,0,Bochum,1.5,0.6,60.0,81365.0,Mats Hummels,4-2-3-1,Tobias Stieler,5.0,2.0,25.7,1.0,1.0,1.0,1.0,1.0,0.0,0.0,435.0,551.0,8252.0,2823.0,505.0,45.0,0.0,12.0,7.0,20.0,2.0,2022-2023,Dortmund
21,2022-11-08,18:30,Matchweek 14,Tue,Away,L,0,2,Wolfsburg,1.6,2.4,63.0,28675.0,Mats Hummels,4-2-3-1,Christian Dingert,21.0,6.0,16.9,1.0,0.0,0.0,7.0,5.0,0.0,0.0,532.0,619.0,9265.0,3031.0,566.0,51.0,0.0,8.0,26.0,21.0,9.0,2022-2023,Dortmund
22,2022-11-11,20:30,Matchweek 15,Fri,Away,L,2,4,M'Gladbach,3.0,2.1,61.0,54042.0,Mats Hummels,4-2-3-1,Sven Jablonski,20.0,10.0,13.5,1.0,0.0,0.0,6.0,2.0,0.0,0.0,517.0,605.0,9669.0,2826.0,544.0,59.0,1.0,8.0,24.0,25.0,9.0,2022-2023,Dortmund
23,2023-01-22,15:30,Matchweek 16,Sun,Home,W,4,3,Augsburg,2.9,1.7,68.0,81365.0,Mats Hummels,4-2-3-1,Frank Willenborg,27.0,9.0,16.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,519.0,629.0,8526.0,3044.0,572.0,56.0,2.0,4.0,23.0,25.0,7.0,2022-2023,Dortmund
24,2023-01-25,18:30,Matchweek 17,Wed,Away,W,2,1,Mainz 05,1.5,1.2,62.0,31500.0,Niklas Süle,4-2-3-1,Sascha Stegemann,11.0,6.0,18.2,0.0,0.0,0.0,4.0,3.0,0.0,0.0,578.0,709.0,9958.0,3020.0,651.0,58.0,2.0,9.0,15.0,29.0,3.0,2022-2023,Dortmund
25,2023-01-29,17:30,Matchweek 18,Sun,Away,W,2,0,Leverkusen,0.9,1.7,44.0,30210.0,Jude Bellingham,4-5-1,Tobias Welz,6.0,2.0,20.4,0.0,0.0,0.0,6.0,6.0,0.0,0.0,368.0,461.0,6274.0,2596.0,412.0,47.0,0.0,3.0,13.0,16.0,4.0,2022-2023,Dortmund
26,2023-02-04,15:30,Matchweek 19,Sat,Home,W,5,1,Freiburg,1.9,0.4,76.0,81365.0,Marco Reus,4-1-4-1,Robert Schröder,26.0,10.0,19.1,1.0,0.0,0.0,3.0,2.0,0.0,0.0,644.0,734.0,10269.0,3119.0,689.0,44.0,0.0,8.0,28.0,12.0,14.0,2022-2023,Dortmund
28,2023-02-11,15:30,Matchweek 20,Sat,Away,W,2,0,Werder Bremen,2.5,0.6,56.0,42100.0,Marco Reus,4-1-4-1,Felix Brych,18.0,9.0,15.9,0.0,0.0,0.0,4.0,4.0,0.0,0.0,473.0,581.0,8347.0,2888.0,534.0,44.0,7.0,5.0,17.0,22.0,7.0,2022-2023,Dortmund
30,2023-02-19,17:30,Matchweek 21,Sun,Home,W,4,1,Hertha BSC,2.5,1.1,58.0,81365.0,Marco Reus,4-5-1,Harm Osmers,12.0,5.0,16.0,1.0,0.0,0.0,9.0,8.0,0.0,0.0,453.0,581.0,8393.0,2735.0,523.0,58.0,3.0,3.0,11.0,25.0,3.0,2022-2023,Dortmund
31,2023-02-25,15:30,Matchweek 22,Sat,Away,W,1,0,Hoffenheim,2.3,1.3,56.0,30150.0,Marco Reus,4-3-3,Martin Petersen,25.0,11.0,15.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,433.0,527.0,7679.0,2599.0,473.0,53.0,1.0,7.0,17.0,23.0,11.0,2022-2023,Dortmund
32,2023-03-03,20:30,Matchweek 23,Fri,Home,W,2,1,RB Leipzig,1.2,2.2,38.0,81365.0,Marco Reus,4-1-4-1,Sven Jablonski,7.0,2.0,21.5,1.0,1.0,1.0,5.0,4.0,0.0,0.0,321.0,417.0,6382.0,2519.0,369.0,48.0,2.0,5.0,15.0,13.0,4.0,2022-2023,Dortmund
34,2023-03-11,18:30,Matchweek 24,Sat,Away,D,2,2,Schalke 04,2.0,1.5,65.0,61571.0,Mats Hummels,4-3-3,Marco Fritz,20.0,8.0,18.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,502.0,604.0,8832.0,2988.0,544.0,59.0,2.0,7.0,13.0,30.0,6.0,2022-2023,Dortmund
35,2023-03-18,18:30,Matchweek 25,Sat,Home,W,6,1,Köln,3.3,1.6,63.0,81365.0,Marco Reus,4-3-3,Daniel Siebert,12.0,8.0,12.4,1.0,0.0,0.0,5.0,4.0,0.0,0.0,668.0,749.0,11530.0,3470.0,719.0,30.0,2.0,4.0,12.0,16.0,1.0,2022-2023,Dortmund
36,2023-04-01,18:30,Matchweek 26,Sat,Away,L,2,4,Bayern Munich,1.5,2.4,52.0,75000.0,Marco Reus,4-5-1,Marco Fritz,9.0,3.0,17.2,0.0,1.0,1.0,9.0,6.0,0.0,0.0,511.0,604.0,9129.0,2914.0,560.0,44.0,0.0,12.0,19.0,16.0,2.0,2022-2023,Dortmund
38,2023-04-08,15:30,Matchweek 27,Sat,Home,W,2,1,Union Berlin,2.6,0.5,63.0,81365.0,Mats Hummels,4-3-3,Daniel Schlager,15.0,6.0,15.4,0.0,0.0,0.0,2.0,1.0,0.0,0.0,524.0,630.0,8715.0,3032.0,575.0,55.0,2.0,5.0,21.0,21.0,8.0,2022-2023,Dortmund
39,2023-04-15,15:30,Matchweek 28,Sat,Away,D,3,3,Stuttgart,1.8,1.4,57.0,47300.0,Mats Hummels,4-1-4-1,Harm Osmers,15.0,6.0,16.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,561.0,653.0,9068.0,2919.0,606.0,46.0,1.0,5.0,17.0,17.0,7.0,2022-2023,Dortmund
40,2023-04-22,18:30,Matchweek 29,Sat,Home,W,4,0,Eint Frankfurt,1.1,0.6,55.0,81365.0,Mats Hummels,4-3-3,Deniz Aytekin,14.0,7.0,16.9,1.0,0.0,0.0,2.0,2.0,0.0,0.0,449.0,549.0,8641.0,2775.0,493.0,55.0,0.0,5.0,19.0,27.0,5.0,2022-2023,Dortmund
41,2023-04-28,20:30,Matchweek 30,Fri,Away,D,1,1,Bochum,2.7,0.9,66.0,26000.0,Mats Hummels,4-3-3,Sascha Stegemann,22.0,7.0,14.1,0.0,0.0,0.0,4.0,3.0,0.0,0.0,443.0,555.0,8749.0,3056.0,493.0,61.0,0.0,9.0,34.0,25.0,11.0,2022-2023,Dortmund
42,2023-05-07,17:30,Matchweek 31,Sun,Home,W,6,0,Wolfsburg,4.2,1.2,57.0,81365.0,Mats Hummels,4-3-3,Marco Fritz,19.0,10.0,18.4,1.0,0.0,1.0,3.0,3.0,0.0,0.0,463.0,536.0,8976.0,3313.0,490.0,44.0,6.0,7.0,15.0,14.0,10.0,2022-2023,Dortmund
43,2023-05-13,18:30,Matchweek 32,Sat,Home,W,5,2,M'Gladbach,4.5,2.0,54.0,81365.0,Mats Hummels,4-2-3-1,Daniel Schlager,33.0,11.0,18.5,1.0,1.0,1.0,7.0,5.0,1.0,0.0,525.0,600.0,8581.0,2898.0,549.0,51.0,0.0,5.0,26.0,19.0,10.0,2022-2023,Dortmund
44,2023-05-21,17:30,Matchweek 33,Sun,Away,W,3,0,Augsburg,3.1,0.2,64.0,30660.0,Mats Hummels,4-5-1,Tobias Welz,28.0,10.0,16.9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,518.0,589.0,8954.0,2983.0,547.0,41.0,3.0,3.0,16.0,16.0,8.0,2022-2023,Dortmund
